file :4 block_id:1 --> bbed : Data File Header
file :4 block_id:136 --> bbed :BBED-00400: invalid blocktype (32)
file :4 block_id:137 --> bbed :BBED-00400: invalid blocktype (33)
file :4 block_id:138 --> bbed :BBED-00400: invalid blocktype (35)
file :4 block_id:139 --> bbed : KTB Data Block (Index Leaf)
file :4 block_id:140 --> bbed :BBED-00400: invalid blocktype (00)
file :4 block_id:141 --> bbed :BBED-00400: invalid blocktype (00)
file :4 block_id:142 --> bbed :BBED-00400: invalid blocktype (00)
file :4 block_id:143 --> bbed :BBED-00400: invalid blocktype (00)
file :4 block_id:144 --> bbed :BBED-00400: invalid blocktype (32)
file :4 block_id:145 --> bbed :------------------------------------------------------------
file :4 block_id:146 --> bbed :BBED-00400: invalid blocktype (35)
file :4 block_id:147 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:148 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:149 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:150 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:151 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:152 --> bbed :BBED-00400: invalid blocktype (32)
file :4 block_id:153 --> bbed :BBED-00400: invalid blocktype (33)
file :4 block_id:154 --> bbed :BBED-00400: invalid blocktype (35)
file :4 block_id:155 --> bbed : KTB Data Block (Index Leaf)
file :4 block_id:156 --> bbed :------------------------------------------------------------
file :4 block_id:157 --> bbed :BBED-00400: invalid blocktype (00)
file :4 block_id:158 --> bbed :BBED-00400: invalid blocktype (00)
file :4 block_id:159 --> bbed :BBED-00400: invalid blocktype (00)
file :4 block_id:160 --> bbed :BBED-00400: invalid blocktype (32)
file :4 block_id:161 --> bbed :BBED-00400: invalid blocktype (33)
file :4 block_id:162 --> bbed :BBED-00400: invalid blocktype (35)
file :4 block_id:163 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:164 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:165 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:166 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:167 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:168 --> bbed :BBED-00400: invalid blocktype (32)
file :4 block_id:169 --> bbed :BBED-00400: invalid blocktype (33)
file :4 block_id:170 --> bbed :BBED-00400: invalid blocktype (35)
file :4 block_id:171 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:172 --> bbed : KTB Data Block (Table/Cluster)
file :4 block_id:173 --> bbed : KTB Data Block (Table/Cluster)
